PlayerId,TeamId,Touchdowns,Tackles,Points,Interceptions,Name,PositionalUnit,PassingYards,RushingYards,RecievingYards,Sacks,PlayedInProBowl
93,8,5,0,30,0,Antonio Callaway,WR,0,7,586,0,0
94,17,2,0,12,0,Antonio Gates,TE,0,0,333,0,0
95,23,0,6,0,0,Antonio Hamilton,zzz,0,0,0,0,0
96,12,0,48,0,0,Antonio Morrison,LB,0,0,0,1,0
97,30,0,1,0,0,Antony Auclair,TE,0,0,48,0,0
98,9,0,34,0,0,Antwaun Woods,DT,0,0,0,1.5,0
99,18,0,23,0,1,Aqib Talib,CB,0,0,0,0,0
100,25,0,30,0,0,Arden Key,DE,0,0,0,1,0
101,28,0,48,0,0,arik Armstead,DE,0,0,0,3,0
102,16,0,5,0,0,Armani Watts,zzz,0,0,0,1,0
103,21,0,9,0,0,Arthur Maulet,CB,0,0,0,0,0
104,27,0,22,0,0,Artie Burns,CB,0,0,0,0,0
105,11,0,49,0,0,A'Shawn Robinson,DT,0,0,0,1,0
106,7,0,0,0,0,Auden Tate,WR,0,0,35,0,0
107,7,0,1,0,0,Auden Tate,zzz,0,0,35,0,0
108,18,0,0,0,0,Austin Blythe,G,0,0,0,0,0
109,29,0,45,0,0,Austin Calitro,LB,0,0,0,0.5,0
110,21,2,0,12,0,Austin carr,WR,0,0,97,0,0
111,17,6,9,36,0,Austin Ekeler,RB,0,554,404,0,0
112,2,4,0,24,0,Austin Hooper,TE,0,0,660,0,1
113,31,0,22,0,0,Austin Johnson,DT,0,0,0,1,0
114,15,1,0,6,0,Austin Seferian-Jenkins,TE,0,0,90,0,0
115,24,0,120,0,1,Avery Williamson,LB,0,0,0,3,0
116,26,0,35,0,2,Avonte Maddox,CB,0,0,0,0.5,0
117,26,0,2,0,0,B.J. Bello,zzz,0,0,0,0,0
118,27,0,0,0,0,B.J. Finney,G,0,0,0,0,0
119,23,0,61,0,2,B.J. Goodson,LB,0,0,0,0.5,0
120,23,0,48,0,0,B.J. Hill,DT,0,0,0,5.5,0
121,23,0,59,0,1,B.W. Webb,CB,0,0,0,1,0
122,8,27,0,162,0,Baker Mayfield,QB,3725,131,0,0,0
123,29,0,48,0,0,Barkevious mingo,LB,0,0,0,1,0
124,15,0,38,0,1,Barry Church,FS,0,0,0,1,0
125,12,1,20,6,2,Bashaud Breeland,CB,0,0,0,0,0
126,30,0,20,0,0,Beau Allen,DT,0,0,0,0,0
127,31,0,5,0,0,Beau Brinkley,zzz,0,0,0,0,0
128,6,0,3,0,0,Ben Braunecker,TE,0,0,42,0,0
129,20,0,53,0,0,Ben Gedeon,LB,0,0,0,0,0
130,5,0,6,0,0,Ben Jacobs,zzz,0,0,0,0,0
131,16,0,10,0,0,Ben Niemann,LB,0,0,0,0,0
132,27,37,0,222,0,Ben Roethlisberger,QB,5129,98,-1,0,0
133,21,2,0,12,0,Ben Watson,TE,0,0,400,0,0
134,13,0,105,0,1,Benardrick McKinney,LB,0,0,0,1.5,1
135,25,0,54,0,1,Bene Benwikere,CB,0,0,0,0.5,0
136,23,1,1,6,0,Bennie Fowler,WR,0,0,199,0,0
137,31,0,14,0,0,Bennie Logan,zzz,0,0,0,0,0
138,6,0,4,0,0,Benny Cunningham,zzz,0,20,9,0,0
